3525.5369,13850.98788
3525.55892,13850.99706
3525.57986,13851.00276
3525.59306,13851.00936
3525.63278,13851.0351
3525.63944,13851.04344
3525.67832,13851.07374
3525.69524,13851.09144
3525.70334,13851.10212
3525.70592,13851.10386
3525.71198,13851.11256
3525.71546,13851.1209
3525.71426,13851.1233
3525.71222,13851.12426
3525.71342,13851.13182
3525.7097 , 13851.1383
3525.70778,13851.13992
3525.70562,13851.14166
3525.7319 , 13851.18312
3525.74168,13851.20214
3525.74576,13851.21096
3525.75152,13851.22992
3525.75794,13851.25998
3525.76148,13851.28872
3525.76334,13851.31548
3525.7607 , 13851.33876
3525.75266,13851.37704
3525.70718,13851.50406
3525.70556,13851.51846
3525.71528,13851.55728
3525.7187 , 13851.57426
3525.71684,13851.62772
3525.71186,13851.63444
3525.70898,13851.65274
3525.7061 , 13851.65784
3525.69458,13851.67164
3525.68306,13851.69606
3525.67886,13851.72666
3525.6773 , 13851.76266
3525.68072,13851.79092
3525.68048,13851.8115
3525.67766,13851.8337
3525.66842,13851.86526
3525.65846,13851.87384
3525.64748,13851.94206
3525.64328,13852.06242
3525.63938,13852.1139
3525.63446,13852.1361
3525.62942,13852.17114
3525.61976,13852.24326
3525.61478,13852.28322
3525.6131 , 13852.3125
3525.60368,13852.3317
3525.58904,13852.42884
3525.49526,13852.66824
3525.44756,13852.79046
3525.40466,13852.86246
3525.38846,13852.88046
3525.29504,13853.00646
3525.27044,13853.08104
3525.2663 , 13853.12664
3525.27446,13853.27544
3525.28748,13853.42064
3525.31166,13853.53716
3525.33518,13853.59056
3525.3761 , 13853.69358
3525.3971 , 13853.7129
3525.44954,13853.82876
3525.48314,13853.86482
3525.48632,13853.86356
3525.48632,13853.86086
3525.4859 , 13853.85906
3525.47426,13853.83026
3525.47462,13853.82264
3525.47684,13853.81886
3525.48038,13853.81544
3525.48722,13853.81208
3525.49418,13853.80884
3525.49574,13853.8053
3525.49496,13853.80014
3525.49394,13853.79834
3525.46526,13853.77338
3525.44984,13853.74464
3525.44642,13853.72658
3525.42782,13853.68986
3525.42704,13853.68446
3525.43808,13853.64996
3525.43706,13853.64642
3525.40586,13853.63964
